as_of_date,over_400_ratio,over_400_change_1w,over_600_ratio,over_600_change_1w,over_800_ratio,over_800_change_1w,over_1000_ratio,over_1000_change_1w,tdcc_consecutive_up_weeks,all_thresholds_up,high_thresholds_up,four_thresholds_sync_up,retail_ratio,total_shareholders
20260430,63.32,,58.47,,55.74,,53.78,,0,False,False,False,,
20260508,63.02,-0.29999999999999716,58.46,-0.00999999999999801,55.73,-0.010000000000005116,53.77,-0.00999999999999801,0,False,False,False,,
20260515,63.07,0.04999999999999716,59.16,0.6999999999999957,55.73,0.0,53.77,0.0,1,False,False,False,,
20260522,63.1,0.030000000000001137,58.84,-0.3199999999999932,55.74,0.010000000000005116,53.78,0.00999999999999801,2,False,True,False,,
20260529,63.36,0.259999999999998,59.2,0.35999999999999943,55.74,0.0,53.78,0.0,3,False,False,False,,
