as_of_date,over_400_ratio,over_400_change_1w,over_600_ratio,over_600_change_1w,over_800_ratio,over_800_change_1w,over_1000_ratio,over_1000_change_1w,tdcc_consecutive_up_weeks,all_thresholds_up,high_thresholds_up,four_thresholds_sync_up,retail_ratio,total_shareholders
20260306,42.14,0.28000000000000114,37.04,0.36999999999999744,29.06,0.36999999999999744,26.8,0.370000000000001,14,True,True,True,,
20260313,42.44,0.29999999999999716,37.4,0.35999999999999943,29.42,0.360000000000003,27.16,0.35999999999999943,15,True,True,True,,
20260320,42.61,0.1700000000000017,37.43,0.030000000000001137,29.45,0.029999999999997584,27.19,0.030000000000001137,16,True,True,True,,
20260327,43.0,0.39000000000000057,37.87,0.4399999999999977,29.89,0.4400000000000013,27.63,0.4399999999999977,17,True,True,True,,
20260402,43.35,0.3500000000000014,38.2,0.3300000000000054,30.22,0.3299999999999983,27.96,0.33000000000000185,18,True,True,True,,
20260410,43.65,0.29999999999999716,38.53,0.3299999999999983,30.55,0.33000000000000185,28.29,0.3299999999999983,19,True,True,True,,
20260417,44.83,1.1799999999999997,39.77,1.240000000000002,31.79,1.2399999999999984,29.53,1.240000000000002,20,True,True,True,,
20260424,44.88,0.05000000000000426,39.8,0.02999999999999403,31.82,0.030000000000001137,29.56,0.029999999999997584,21,True,True,True,,
20260430,44.87,-0.010000000000005116,39.81,0.010000000000005116,31.83,0.00999999999999801,29.57,0.010000000000001563,22,False,True,False,,
20260508,43.76,-1.1099999999999994,39.9,0.0899999999999963,31.92,0.09000000000000341,29.66,0.08999999999999986,23,False,True,False,,
20260515,44.09,0.3300000000000054,40.23,0.3299999999999983,32.25,0.3299999999999983,29.99,0.3299999999999983,24,True,True,True,,
20260522,44.23,0.13999999999999346,40.37,0.14000000000000057,32.39,0.14000000000000057,30.13,0.14000000000000057,25,True,True,True,,
