as_of_date,over_400_ratio,over_400_change_1w,over_600_ratio,over_600_change_1w,over_800_ratio,over_800_change_1w,over_1000_ratio,over_1000_change_1w,tdcc_consecutive_up_weeks,all_thresholds_up,high_thresholds_up,four_thresholds_sync_up,retail_ratio,total_shareholders
20260306,91.36,-0.010000000000005116,90.55,0.0,89.87,0.0,89.35,0.09999999999999432,3,False,True,False,,
20260313,91.33,-0.030000000000001137,90.55,0.0,89.93,0.060000000000002274,89.31,-0.03999999999999204,4,False,True,False,,
20260320,91.54,0.21000000000000796,90.77,0.21999999999999886,90.12,0.18999999999999773,89.47,0.1599999999999966,5,True,True,True,,
20260327,91.6,0.05999999999998806,90.82,0.04999999999999716,90.24,0.11999999999999034,89.47,0.0,6,False,True,False,,
20260402,91.66,0.060000000000002274,90.91,0.09000000000000341,90.28,0.04000000000000625,89.51,0.04000000000000625,7,True,True,True,,
20260410,91.68,0.020000000000010232,90.88,-0.030000000000001137,90.26,-0.01999999999999602,89.56,0.04999999999999716,8,False,True,False,,
20260417,91.69,0.009999999999990905,90.88,0.0,90.25,-0.010000000000005116,89.5,-0.060000000000002274,9,False,False,False,,
20260424,91.87,0.18000000000000682,91.06,0.18000000000000682,90.48,0.23000000000000398,89.78,0.28000000000000114,10,True,True,True,,
20260430,91.89,0.01999999999999602,91.08,0.01999999999999602,90.47,-0.010000000000005116,89.69,-0.09000000000000341,11,False,False,False,,
20260508,91.68,-0.20999999999999375,90.89,-0.18999999999999773,90.24,-0.23000000000000398,89.52,-0.1700000000000017,0,False,False,False,,
20260515,91.92,0.23999999999999488,91.03,0.14000000000000057,90.44,0.20000000000000284,89.73,0.21000000000000796,1,True,True,True,,
20260522,91.95,0.030000000000001137,91.09,0.060000000000002274,90.5,0.060000000000002274,89.8,0.06999999999999318,2,True,True,True,,
