signal_id,signal_date,code,name,primary_theme,signal_family,threshold_count,has_400,has_600,has_800,has_1000,is_all_thresholds,is_consecutive_2w,is_consecutive_3w,pre_5d_return,overheat_bucket,price_confirm_bucket,theme_breadth_score,created_at,updated_at,priority_group,tdcc_consecutive_up_weeks,all_thresholds_up,high_thresholds_up,tdcc_1w_change_400,tdcc_1w_change_600,tdcc_1w_change_800,tdcc_1w_change_1000,tdcc_2w_change_400,tdcc_2w_change_600,tdcc_2w_change_800,tdcc_2w_change_1000,tdcc_3w_change_400,tdcc_3w_change_600,tdcc_3w_change_800,tdcc_3w_change_1000,price_ret_1w,price_ret_2w,price_ret_3w,price_ret_4w,relative_ret_1w,relative_ret_2w,relative_ret_3w,relative_ret_4w,volume_ratio_1w,volume_ratio_2w,distance_from_20d_high,distance_from_60d_high,distance_from_ma20,distance_from_ma60,tdcc_price_phase,benchmark_index,market_regime,theme_breadth_level,theme_sync_status
20260522_1102_normalized,20260522,1102,亞泥,other,tdcc_normalized_accumulation,1,False,False,False,True,False,False,False,0.14556040756912303,normal,weak,10,2026-05-25 01:30:09 Asia/Taipei,2026-05-25 01:30:09 Asia/Taipei,Avoid/low priority,2,False,False,-0.18999999999999773,-0.09000000000000341,-0.06999999999999318,0.030000000000001137,-0.10999999999999943,-0.060000000000002274,-0.060000000000002274,0.06999999999999318,-0.20000000000000284,-0.1599999999999966,-0.1799999999999926,0.01999999999999602,0.14556040756912303,-1.5736766809728353,-1.854493580599137,-4.576976421636614,-2.5154723823899605,-3.169751475811977,-10.438180378043459,-16.65154259905277,1.0411284577018414,1.0992453514796967,-4.8409405255878335,-4.8409405255878335,-1.5666356677873972,-1.7120391323230288,tdcc_price_divergence,TWSE,strong_bull,A,synchronized_accumulation
20260522_1104_normalized,20260522,1104,環泥,other,tdcc_normalized_accumulation,1,False,False,True,False,False,False,False,0.7312614259597838,normal,weak,10,2026-05-25 01:30:09 Asia/Taipei,2026-05-25 01:30:09 Asia/Taipei,Avoid/low priority,1,False,False,-0.10999999999999943,-0.23000000000000398,0.1700000000000017,-0.09000000000000341,-0.21999999999999886,-0.3299999999999983,-0.12000000000000455,-0.269999999999996,-0.3199999999999932,-0.29999999999999716,-0.09999999999999432,-0.09000000000000341,0.7312614259597838,-2.6501766784452263,-2.821869488536155,-4.340277777777779,-1.9297713639992997,-4.246251473284368,-11.405556285980477,-16.414843955193938,0.6490391494941694,1.0099891479715977,-5.650684931506844,-9.225700164744644,-1.7650205027634147,-4.822115816456963,insufficient_price_context,TWSE,strong_bull,A,synchronized_accumulation
20260522_1108_normalized,20260522,1108,幸福,other,tdcc_normalized_accumulation,2,True,True,False,False,False,False,False,-2.166064981949456,normal,weak,10,2026-05-25 01:30:09 Asia/Taipei,2026-05-25 01:30:09 Asia/Taipei,Avoid/low priority,1,False,False,0.1700000000000017,0.1599999999999966,0.0,-0.020000000000010232,0.1700000000000017,-0.060000000000002274,-0.04000000000000625,-0.060000000000002274,0.15000000000000568,-0.060000000000002274,-0.04000000000000625,-0.060000000000002274,-2.166064981949456,-6.872852233676974,-6.872852233676974,-7.191780821917804,-4.827097771908539,-8.468927028516116,-15.456539031121295,-19.26634699933396,0.9606465147666358,1.4701750396863105,-8.135593220338977,-12.012987012987008,-4.912280701754379,-7.885791978246093,insufficient_price_context,TWSE,strong_bull,A,synchronized_accumulation
20260522_1109_normalized,20260522,1109,信大,other,tdcc_normalized_accumulation,3,False,True,True,True,False,False,False,-2.020202020202011,normal,weak,10,2026-05-25 01:30:09 Asia/Taipei,2026-05-25 01:30:09 Asia/Taipei,Avoid/low priority,3,False,True,-0.03999999999999204,0.01999999999999602,0.009999999999990905,0.009999999999990905,-0.28999999999999204,0.030000000000001137,0.01999999999999602,0.3100000000000023,-0.12999999999999545,0.06999999999999318,0.060000000000002274,0.3100000000000023,-2.020202020202011,-5.519480519480513,-5.825242718446589,-5.2117263843648125,-4.6812348101610946,-7.115555314319655,-14.408929515890911,-17.286292561780968,1.1329229243741399,1.3874395707261893,-6.129032258064515,-9.062499999999996,-4.134409487728541,-5.067627082150761,tdcc_price_divergence,TWSE,strong_bull,A,synchronized_accumulation
20260522_1110_normalized,20260522,1110,東泥,other,tdcc_normalized_accumulation,4,True,True,True,True,True,False,False,0.0,normal,weak,10,2026-05-25 01:30:09 Asia/Taipei,2026-05-25 01:30:09 Asia/Taipei,Avoid/low priority,2,True,True,0.060000000000002274,0.06999999999999318,0.060000000000002274,0.060000000000002274,-0.04000000000000625,0.01999999999999602,0.1600000000000108,0.1600000000000108,0.030000000000001137,0.01999999999999602,0.1600000000000108,0.1600000000000108,0.0,-5.333333333333334,-7.792207792207795,-3.7288135593220417,-2.6610327899590835,-6.929408128172476,-16.375894589652116,-15.803379736738199,1.0061855945037907,1.0570535317277765,-10.410094637223978,-14.970059880239518,-3.7940379403794022,-7.042511685149067,tdcc_price_divergence,TWSE,strong_bull,A,synchronized_accumulation
20260522_1201_normalized,20260522,1201,味全,other,tdcc_normalized_accumulation,3,True,False,True,True,False,False,False,0.0,normal,weak,10,2026-05-25 01:30:09 Asia/Taipei,2026-05-25 01:30:09 Asia/Taipei,Avoid/low priority,3,False,True,0.060000000000002274,-0.1699999999999946,0.0799999999999983,0.07000000000000028,0.09000000000000341,-0.01999999999999602,-0.020000000000003126,-0.03999999999999915,0.17999999999999972,0.09000000000000341,0.13000000000000256,-0.04999999999999716,0.0,-2.822580645161288,-3.599999999999992,-7.662835249042144,-2.6610327899590835,-4.41865544000043,-12.183686797444315,-19.7374014264583,0.8662614511916474,0.8972564082852761,-7.662835249042144,-18.305084745762713,-2.1121039805036546,-9.073759667987158,tdcc_price_divergence,TWSE,strong_bull,A,synchronized_accumulation
20260522_1203_normalized,20260522,1203,味王,other,tdcc_normalized_accumulation,4,True,True,True,True,True,True,False,0.1175088131609936,normal,weak,10,2026-05-25 01:30:09 Asia/Taipei,2026-05-25 01:30:09 Asia/Taipei,Avoid/low priority,2,True,True,0.020000000000010232,0.030000000000001137,0.030000000000001137,0.030000000000001137,0.04000000000000625,0.04999999999999716,0.05000000000001137,0.05000000000001137,0.04000000000000625,0.04999999999999716,0.05000000000001137,0.05000000000001137,0.1175088131609936,-3.1818181818181746,-2.2935779816513735,-3.7288135593220306,-2.54352397679809,-4.777892976657316,-10.877264779095697,-15.803379736738188,1.2662530756295696,1.1007403661037471,-3.7288135593220306,-4.269662921348316,-0.7050871161354277,3.4734029633228136,tdcc_price_divergence,TWSE,strong_bull,A,synchronized_accumulation
20260522_1210_normalized,20260522,1210,大成,other,tdcc_normalized_accumulation,4,True,True,True,True,True,False,False,-0.9451795841209809,normal,weak,10,2026-05-25 01:30:09 Asia/Taipei,2026-05-25 01:30:09 Asia/Taipei,Avoid/low priority,1,True,True,0.13000000000000256,0.25,0.25,0.259999999999998,0.020000000000003126,0.10999999999999943,0.0800000000000054,0.1700000000000017,-0.4799999999999969,-0.46000000000000085,-0.3999999999999986,-0.4200000000000017,-0.9451795841209809,-0.9451795841209809,-1.8726591760299671,-2.23880597014926,-3.6062123740800645,-2.5412543789601227,-10.456345973474289,-14.313372147565417,0.9870850222501288,1.0306448807027844,-3.4990791896869267,-6.428571428571428,-0.8514664143803308,-1.4264940752431898,insufficient_price_context,TWSE,strong_bull,A,synchronized_accumulation
20260522_1213_normalized,20260522,1213,大飲,other,tdcc_normalized_accumulation,3,True,True,True,False,False,False,False,-4.831460674157295,normal,weak,10,2026-05-25 01:30:09 Asia/Taipei,2026-05-25 01:30:09 Asia/Taipei,Avoid/low priority,3,False,False,0.04000000000000625,0.04000000000000625,0.04000000000000625,0.0,0.10999999999999943,0.11000000000001364,0.11000000000001364,0.0,0.12000000000000455,0.12000000000000455,0.12000000000000455,0.0,-4.831460674157295,-3.1999999999999917,-6.201550387596888,-8.432432432432424,-7.492493464116379,-4.796074794839134,-14.785237185041211,-20.50699860984858,0.809297573024487,0.8038908846613378,-8.432432432432424,-16.551724137931036,-3.3711710683931195,-9.41176470588234,tdcc_price_divergence,TWSE,strong_bull,A,synchronized_accumulation
20260522_1215_normalized,20260522,1215,卜蜂,other,tdcc_normalized_accumulation,4,True,True,True,True,True,False,False,2.1428571428571352,normal,confirmed,10,2026-05-25 01:30:09 Asia/Taipei,2026-05-25 01:30:09 Asia/Taipei,A,2,True,True,1.8400000000000034,1.779999999999994,1.75,1.4600000000000009,1.3800000000000097,1.8699999999999974,1.6300000000000026,1.3599999999999994,0.4300000000000068,0.5499999999999972,0.6000000000000014,0.6700000000000017,2.1428571428571352,6.7164179104477695,3.2490974729241895,2.1428571428571352,-0.5181756471019483,5.120343115608628,-5.334589324520133,-9.931709034559022,1.0295838297993034,1.0068983071584663,-2.0547945205479423,-12.538226299694188,2.7667984189723382,-1.2828398510820627,insufficient_price_context,TWSE,strong_bull,A,synchronized_accumulation
