signal_id,signal_date,code,name,primary_theme,secondary_theme,signal_family,threshold_count,has_400,has_600,has_800,has_1000,is_all_thresholds,is_consecutive_2w,is_consecutive_3w,weekly_change_400,weekly_change_600,weekly_change_800,weekly_change_1000,rank_400,rank_600,rank_800,rank_1000,tdcc_400_streak_weeks,tdcc_600_streak_weeks,tdcc_800_streak_weeks,tdcc_1000_streak_weeks,all_threshold_streak_weeks,tdcc_1w_change_400,tdcc_1w_change_600,tdcc_1w_change_800,tdcc_1w_change_1000,tdcc_2w_change_400,tdcc_2w_change_600,tdcc_2w_change_800,tdcc_2w_change_1000,tdcc_3w_change_400,tdcc_3w_change_600,tdcc_3w_change_800,tdcc_3w_change_1000,tdcc_consecutive_up_weeks,all_thresholds_up,high_thresholds_up,created_at,updated_at,tdcc_400_ratio_20w_high,tdcc_400_near_20w_high,tdcc_600_ratio_20w_high,tdcc_600_near_20w_high,tdcc_800_ratio_20w_high,tdcc_800_near_20w_high,tdcc_1000_ratio_20w_high,tdcc_1000_near_20w_high,benchmark_index,market_regime,pre_5d_return,price_return_5d,pre_10d_return,price_return_10d,pre_20d_return,price_return_20d,price_return_60d,price_ret_1w,relative_ret_1w,price_ret_2w,relative_ret_2w,price_ret_3w,relative_ret_3w,price_ret_4w,relative_ret_4w,volume_ratio_1w,volume_ratio_2w,above_ma5,distance_ma5_pct,above_ma10,distance_ma10_pct,above_ma20,distance_ma20_pct,above_ma60,distance_ma60_pct,ma20_slope,ma60_slope,distance_20d_high_pct,price_range_20d_pct,distance_60d_high_pct,price_range_60d_pct,distance_120d_high_pct,price_range_120d_pct,bollinger_bandwidth_20d,volume_ratio_20d,atr_pct_14d,volume_ratio_5d,turnover_ratio,is_compression,is_volume_healthy,is_volume_explosive,breakout_20d,overheat_bucket,price_confirm_bucket,distance_from_20d_high,distance_from_60d_high,distance_from_ma20,distance_from_ma60,tdcc_price_phase,is_price_not_reacted,is_quiet_accumulation,is_early_breakout,abm_score,abm_rank,setup_type,abm_reason,source_tdcc_dataset_id,breadth_score,sync_status,theme_breadth_level,theme_breadth_score,theme_sync_status,priority_group
20251128_1217_normalized,20251128,1217,愛之味,other,,tdcc_normalized_accumulation,4,True,True,True,True,True,False,False,0.07000000000000028,0.14000000000000057,0.14000000000000057,0.11999999999999744,,,,,1,1,1,1,1,0.07000000000000028,0.14000000000000057,0.14000000000000057,0.11999999999999744,,,,,,,,,1,True,True,2026-08-15 15:43:26 Asia/Taipei,2026-08-15 15:43:26 Asia/Taipei,1.0,True,1.0,True,1.0,True,1.0,True,TWSE,mild_bull,1.9607843137255054,1.9607843137255054,1.9607843137255054,1.9607843137255054,0.9708737864077666,0.9708737864077666,-5.882352941176472,1.9607843137255054,-2.5466592439296276,1.9607843137255054,1.1250146267102634,1.4634146341463428,1.5535727852135084,0.9708737864077666,3.120353037010326,0.8445776446090877,0.8997571190050779,True,0.48309178743961567,,,True,1.537710519892621,False,-0.7235724240630681,-0.007500000000000284,-0.05250000000000021,-0.952380952380949,3.960396039603964,-6.306306306306297,9.90099009900991,-7.555555555555548,11.386138613861396,3.7089497731681234,0.43613060760850864,1.2019230769230755,0.4361,0.43613060760850864,True,False,False,True,normal,confirmed,-0.952380952380949,-6.306306306306297,1.537710519892621,-0.7235724240630681,insufficient_price_context,True,False,True,,,,,tdcc-20260814-4a7d44bd65038f59,10,synchronized_accumulation,A,10,synchronized_accumulation,
20251128_1233_normalized,20251128,1233,天仁,other,,tdcc_normalized_accumulation,4,True,True,True,True,True,False,False,0.010000000000005116,0.009999999999990905,0.009999999999990905,0.010000000000005116,,,,,1,1,1,1,1,0.010000000000005116,0.009999999999990905,0.009999999999990905,0.010000000000005116,,,,,,,,,1,True,True,2026-08-15 15:43:26 Asia/Taipei,2026-08-15 15:43:26 Asia/Taipei,1.0,True,1.0,True,1.0,True,1.0,True,TWSE,mild_bull,3.8961038961038863,3.8961038961038863,3.8961038961038863,3.8961038961038863,3.8961038961038863,3.8961038961038863,4.234527687296419,3.8961038961038863,-0.6113396615512467,3.8961038961038863,3.0603342090886443,3.8961038961038863,3.986262047171052,3.8961038961038863,6.045583146706446,1.966569926026142,1.44366857965828,True,1.4263074484944571,,,True,3.2591158438205925,True,3.7361212415917056,0.1875,0.067499999999999,-0.15600624024960652,4.567699836867867,-0.15600624024960652,5.081967213114735,-0.9287925696594312,7.4875207986688785,4.9399006862362445,1.855456390337574,0.27901785714285715,1.8555,1.855456390337574,True,True,False,True,normal,confirmed,-0.15600624024960652,-0.15600624024960652,3.2591158438205925,3.7361212415917056,insufficient_price_context,True,False,True,,,,,tdcc-20260814-4a7d44bd65038f59,10,synchronized_accumulation,A,10,synchronized_accumulation,
20251128_1304_normalized,20251128,1304,台聚,other,,tdcc_normalized_accumulation,3,False,True,True,True,False,False,False,-0.0799999999999983,0.10000000000000142,0.10999999999999943,0.25,,,,,0,1,1,1,0,-0.0799999999999983,0.10000000000000142,0.10999999999999943,0.25,,,,,,,,,1,False,True,2026-08-15 15:43:26 Asia/Taipei,2026-08-15 15:43:26 Asia/Taipei,0.9986748384959417,True,1.0,True,1.0,True,1.0,True,TWSE,mild_bull,7.881773399014769,7.881773399014769,-3.0973451327433787,-3.0973451327433787,5.797101449275366,5.797101449275366,5.28846153846152,7.881773399014769,3.3743298413596357,-3.0973451327433787,-3.9331148197586208,2.8169014084507005,2.907059559517866,5.797101449275366,7.946580699877925,0.8263114702787427,0.8902611782837274,True,4.484732824427473,,,True,3.816070158805407,True,4.893095256341473,-0.09250000000000114,-0.022500000000000853,-6.008583690987135,17.558022199798184,-6.008583690987135,20.351239669421496,-6.41025641025641,29.999999999999982,14.87310448055639,1.2339019045858666,3.7181996086105675,1.2339,1.2339019045858666,False,True,False,False,normal,confirmed,-6.008583690987135,-6.008583690987135,3.816070158805407,4.893095256341473,insufficient_price_context,True,False,False,,,,,tdcc-20260814-4a7d44bd65038f59,10,synchronized_accumulation,A,10,synchronized_accumulation,
20251128_1308_normalized,20251128,1308,亞聚,other,,tdcc_normalized_accumulation,3,False,True,True,True,False,False,False,-0.0800000000000054,0.1700000000000017,0.03999999999999915,0.030000000000001137,,,,,0,1,1,1,0,-0.0800000000000054,0.1700000000000017,0.03999999999999915,0.030000000000001137,,,,,,,,,1,False,True,2026-08-15 15:43:26 Asia/Taipei,2026-08-15 15:43:26 Asia/Taipei,0.9984653750239784,True,1.0,True,1.0,True,1.0,True,TWSE,mild_bull,6.5040650406503975,6.5040650406503975,-1.8726591760299671,-1.8726591760299671,4.3824701195219085,4.3824701195219085,8.713692946058082,6.5040650406503975,1.9966214829952644,-1.8726591760299671,-2.708428863045209,2.7450980392156765,2.835256190282842,4.3824701195219085,6.531949370124468,0.843249127583866,0.8538959341683405,True,4.133545310015885,,,True,3.9682539682539764,True,5.808994572240889,-0.11250000000000071,0.01410000000000089,-3.676470588235292,13.807531380753147,-5.755395683453246,22.466960352422905,-5.755395683453246,26.363636363636367,11.855928805083916,1.3186236349798923,3.8713195201744828,1.3186,1.3186236349798923,True,True,False,False,normal,confirmed,-3.676470588235292,-5.755395683453246,3.9682539682539764,5.808994572240889,insufficient_price_context,True,False,False,,,,,tdcc-20260814-4a7d44bd65038f59,10,synchronized_accumulation,A,10,synchronized_accumulation,
20251128_1319_normalized,20251128,1319,東陽,other,,tdcc_normalized_accumulation,3,True,True,False,True,False,False,False,0.06999999999999318,0.15000000000000568,-0.10999999999999943,0.3299999999999983,,,,,1,1,0,1,0,0.06999999999999318,0.15000000000000568,-0.10999999999999943,0.3299999999999983,,,,,,,,,1,False,False,2026-08-15 15:43:26 Asia/Taipei,2026-08-15 15:43:26 Asia/Taipei,1.0,True,1.0,True,0.9986632640661077,True,1.0,True,TWSE,mild_bull,0.0,0.0,-2.0242914979757054,-2.0242914979757054,0.10341261633919352,0.10341261633919352,-4.63054187192119,0.0,-4.507443557655133,-2.0242914979757054,-2.8600611849909474,-3.200000000000003,-3.109841848932837,0.10341261633919352,2.252891866941753,0.9927086972842145,1.0513804241443077,True,0.08271298593878207,,,False,-0.860303154444908,True,0.345507828089886,-0.17499999999999716,-0.21659999999999968,-5.098039215686279,8.16542948038177,-7.36842105263158,17.152466367712993,-21.935483870967744,39.01345291479821,6.414937855325978,0.9761525795702367,3.224616292798113,0.9762,0.9761525795702367,True,True,False,False,normal,weak,-5.098039215686279,-7.36842105263158,-0.860303154444908,0.345507828089886,insufficient_price_context,True,False,False,,,,,tdcc-20260814-4a7d44bd65038f59,10,synchronized_accumulation,A,10,synchronized_accumulation,
20251128_1323_normalized,20251128,1323,永裕,other,,tdcc_normalized_accumulation,4,True,True,True,True,True,False,False,0.07000000000000739,0.07000000000000739,0.07000000000000028,0.060000000000002274,,,,,1,1,1,1,1,0.07000000000000739,0.07000000000000739,0.07000000000000028,0.060000000000002274,,,,,,,,,1,True,True,2026-08-15 15:43:26 Asia/Taipei,2026-08-15 15:43:26 Asia/Taipei,1.0,True,1.0,True,1.0,True,1.0,True,TWSE,mild_bull,0.0,0.0,-0.254452926208637,-0.254452926208637,-0.254452926208637,-0.254452926208637,-0.50761421319796,0.0,-4.507443557655133,-0.254452926208637,-1.090222613223879,-0.50761421319796,-0.41745606213079434,-0.254452926208637,1.8950263243939225,0.4015075362327237,0.6065602739289512,False,-0.05099439061702071,,,False,-0.11466428844437715,False,-0.5707038681039833,-0.022500000000000853,-0.0058000000000006935,-0.50761421319796,1.285347043701801,-1.0101010101010055,3.937007874015741,-2.244389027431415,5.249343832021003,1.1679765744118853,0.26219658805500595,0.5284256559766748,0.2622,0.26219658805500595,True,False,False,True,normal,weak,-0.50761421319796,-1.0101010101010055,-0.11466428844437715,-0.5707038681039833,insufficient_price_context,True,False,True,,,,,tdcc-20260814-4a7d44bd65038f59,10,synchronized_accumulation,A,10,synchronized_accumulation,
20251128_1325_normalized,20251128,1325,恆大,other,,tdcc_normalized_accumulation,4,True,True,True,True,True,False,False,0.39000000000000057,0.39000000000000057,1.2100000000000009,1.2100000000000009,,,,,1,1,1,1,1,0.39000000000000057,0.39000000000000057,1.2100000000000009,1.2100000000000009,,,,,,,,,1,True,True,2026-08-15 15:43:26 Asia/Taipei,2026-08-15 15:43:26 Asia/Taipei,1.0,True,1.0,True,1.0,True,1.0,True,TWSE,mild_bull,-0.15698587127158659,-0.15698587127158659,2.2508038585209,2.2508038585209,4.6052631578947345,4.6052631578947345,12.765957446808507,-0.15698587127158659,-4.66442942892672,2.2508038585209,1.415034171505658,6.5326633165829096,6.622821467650075,4.6052631578947345,6.754742408497294,1.4494882575429269,1.1491473957714318,False,-0.4071406201064831,,,True,2.226151249698627,True,5.274657609073485,0.3500000000000014,0.27420000000000044,-3.92749244712991,11.82432432432432,-3.92749244712991,19.279279279279283,-14.28571428571429,34.66424682395643,10.63684237292382,0.5009368811467958,2.583108715184188,0.5009,0.5009368811467958,True,False,False,False,normal,confirmed,-3.92749244712991,-3.92749244712991,2.226151249698627,5.274657609073485,insufficient_price_context,True,False,False,,,,,tdcc-20260814-4a7d44bd65038f59,10,synchronized_accumulation,A,10,synchronized_accumulation,
20251128_1409_normalized,20251128,1409,新纖,other,,tdcc_normalized_accumulation,4,True,True,True,True,True,False,False,0.259999999999998,0.4200000000000017,0.5,0.39000000000000057,,,,,1,1,1,1,1,0.259999999999998,0.4200000000000017,0.5,0.39000000000000057,,,,,,,,,1,True,True,2026-08-15 15:43:26 Asia/Taipei,2026-08-15 15:43:26 Asia/Taipei,1.0,True,1.0,True,1.0,True,1.0,True,TWSE,mild_bull,5.537459283387625,5.537459283387625,5.1948051948051965,5.1948051948051965,21.34831460674158,21.34831460674158,8.7248322147651,5.537459283387625,1.0300157257324916,5.1948051948051965,4.3590355077899545,18.248175182481763,18.338333333548928,21.34831460674158,23.497793857344142,0.827794235051395,1.1230176143571373,True,3.1190324633991073,,,True,8.688359610868845,True,12.90536161078315,0.47749999999999915,0.04410000000000025,-1.5197568389057725,27.027027027027017,-1.5197568389057725,27.027027027027017,-15.625,64.8068669527897,27.502465942801834,1.498047527354354,3.3289241622574983,1.498,1.498047527354354,False,True,False,False,normal,confirmed,-1.5197568389057725,-1.5197568389057725,8.688359610868845,12.90536161078315,insufficient_price_context,False,False,False,,,,,tdcc-20260814-4a7d44bd65038f59,10,synchronized_accumulation,A,10,synchronized_accumulation,
20251128_1414_normalized,20251128,1414,東和,other,,tdcc_normalized_accumulation,4,True,True,True,True,True,False,False,0.020000000000010232,0.05000000000001137,0.060000000000002274,0.5099999999999909,,,,,1,1,1,1,1,0.020000000000010232,0.05000000000001137,0.060000000000002274,0.5099999999999909,,,,,,,,,1,True,True,2026-08-15 15:43:26 Asia/Taipei,2026-08-15 15:43:26 Asia/Taipei,1.0,True,1.0,True,1.0,True,1.0,True,TWSE,mild_bull,3.529411764705892,3.529411764705892,1.1494252873563315,1.1494252873563315,0.0,0.0,4.451038575667665,3.529411764705892,-0.978031792949241,1.1494252873563315,0.3136556003410895,-1.6759776536312665,-1.5858195025641009,0.0,2.1494792506025595,0.9288435916106239,0.9863461460472186,True,1.969872537659323,,,True,1.018797531927107,False,-0.9332537797340779,-0.13250000000000028,0.015799999999998704,-3.825136612021851,9.90990990990992,-10.432569974554696,18.01801801801801,-10.432569974554696,19.090909090909093,9.807834400826664,0.3707101821234514,2.7394480519480546,0.3707,0.3707101821234514,True,False,False,False,normal,confirmed,-3.825136612021851,-10.432569974554696,1.018797531927107,-0.9332537797340779,insufficient_price_context,True,False,False,,,,,tdcc-20260814-4a7d44bd65038f59,10,synchronized_accumulation,A,10,synchronized_accumulation,
20251128_1438_normalized,20251128,1438,三地開發,other,,tdcc_normalized_accumulation,4,True,True,True,True,True,False,False,0.01999999999999602,0.020000000000010232,0.01999999999999602,0.010000000000005116,,,,,1,1,1,1,1,0.01999999999999602,0.020000000000010232,0.01999999999999602,0.010000000000005116,,,,,,,,,1,True,True,2026-08-15 15:43:26 Asia/Taipei,2026-08-15 15:43:26 Asia/Taipei,1.0,True,1.0,True,1.0,True,1.0,True,TWSE,mild_bull,0.0,0.0,-1.6081871345029364,-1.6081871345029364,-8.559782608695654,-8.559782608695654,-8.435374149659868,0.0,-4.507443557655133,-1.6081871345029364,-2.4439568215181784,-4.943502824858759,-4.853344673791593,-8.559782608695654,-6.410303358093095,0.8958693146038825,1.0728808186600822,False,-0.14836795252226587,,,False,-2.322206095791013,False,-6.85559433881312,-0.8149999999999977,-0.28999999999999915,-8.683853459972868,11.66666666666667,-18.32524271844661,24.84848484848485,-19.880952380952387,27.27272727272727,11.9364674708424,1.079530512828167,1.8042878369772888,1.0795,1.079530512828167,True,True,False,False,normal,weak,-8.683853459972868,-18.32524271844661,-2.322206095791013,-6.85559433881312,insufficient_price_context,True,False,False,,,,,tdcc-20260814-4a7d44bd65038f59,10,synchronized_accumulation,A,10,synchronized_accumulation,
