event_date,stock_id,stock_name,market,volume_breakout_type,volume_watch_scope,volume_breakout_rule_version,volume_breakout_score,volume_ratio,return_5d_before,return_20d_before,distance_to_ma20_pct,false_breakout_risk,overheated_breakout,close_on_event,mature_d1,return_d1,mfe_d1,mae_d1,mature_d3,return_d3,mfe_d3,mae_d3,mature_d5,return_d5,mfe_d5,mae_d5,mature_d10,return_d10,mfe_d10,mae_d10,mature_d20,return_d20,mfe_d20,mae_d20
20260105,0050,元大台灣50,TWSE,bottom_volume_attack,bottom_volume_attack,bottom_volume_attack_v2_locked_limit_up,45.61,2.5169,7.9193,11.7363,8.589508222335063,False,False,69.5,True,1.2949640287769792,1.2949640287769792,-0.7913669064748108,True,0.8633093525179714,1.3669064748201398,-0.7913669064748108,True,1.2230215827337965,1.510791366906461,-0.8633093525179825,True,4.460431654676245,4.748201438848909,-0.8633093525179825,True,2.877697841726623,7.194244604316546,-0.8633093525179825
20260105,0052,富邦科技,TWSE,bottom_volume_attack,bottom_volume_attack,bottom_volume_attack_v2_locked_limit_up,41.09,2.221,9.5148,13.2287,9.776642573773152,False,False,40.4,True,1.7326732673267342,1.7326732673267342,-0.4950495049504844,True,1.08910891089109,1.75742574257427,-0.4950495049504844,True,1.2376237623762387,1.75742574257427,-0.9405940594059303,True,5.148514851485153,5.693069306930698,-0.9405940594059303,True,5.247524752475252,10.123762376237622,-0.9405940594059303
20260105,0057,富邦摩台,TWSE,bottom_volume_attack,bottom_volume_attack,bottom_volume_attack_v2_locked_limit_up,46.26,2.7253,7.4761,10.8559,8.258228186127226,False,False,202.7,True,1.1593487913172273,1.1593487913172273,0.22200296003946907,True,0.8386778490379942,1.1593487913172273,0.22200296003946907,True,1.0113468179575813,1.1593487913172273,-0.8386778490379831,True,4.119388258510126,4.119388258510126,-0.8386778490379831,True,4.070054267390222,7.918105574740997,-0.8386778490379831
20250922,1101,台泥,listed,bottom_volume_attack,bottom_volume_attack,bottom_volume_attack_v2_locked_limit_up,49.87,3.4542,7.1895,5.5794,7.800175284837874,False,False,24.6,True,-3.455284552845539,-2.2357723577235755,-4.471544715447163,True,-2.6422764227642337,-1.2195121951219523,-4.87804878048782,True,-2.4390243902439046,-0.8130081300813163,-4.87804878048782,True,-4.87804878048782,-0.40650406504065817,-4.87804878048782,True,-7.317073170731714,-0.40650406504065817,-7.72357723577236
20260112,1101,台泥,TWSE,bottom_volume_attack,bottom_volume_attack,bottom_volume_attack_v2_locked_limit_up,51.91,3.3486,8.0087,11.6331,8.442899054656095,False,False,24.95,True,0.0,1.8036072144288484,-1.002004008016033,True,0.20040080160321772,3.4068136272545235,-1.002004008016033,True,5.010020040080154,6.012024048096198,-1.002004008016033,True,5.210420841683372,7.01402805611222,-1.002004008016033,True,1.8036072144288484,8.016032064128265,-1.002004008016033
20250910,1104,環泥,listed,bottom_volume_attack,bottom_volume_attack,bottom_volume_attack_v2_locked_limit_up,70.31,9.0073,9.777,19.403,9.786431083283297,False,False,32.0,True,-4.218750000000004,-0.46874999999999556,-5.46875,True,-6.718749999999996,-0.46874999999999556,-6.874999999999998,True,-6.718749999999996,-0.46874999999999556,-7.656249999999998,True,-4.218750000000004,-0.46874999999999556,-7.656249999999998,True,-1.5625,-0.46874999999999556,-7.8125
20251021,1104,環泥,listed,bottom_volume_attack,bottom_volume_attack,bottom_volume_attack_v2_locked_limit_up,51.33,3.7777,8.4437,6.8515,7.632897871990796,False,False,32.75,True,-0.45801526717557106,0.15267175572517555,-1.526717557251911,True,-1.3740458015267243,0.15267175572517555,-2.2900763358778664,True,-3.6641221374045796,0.15267175572517555,-4.122137404580162,True,-7.175572519083973,0.15267175572517555,-7.938931297709928,True,-9.160305343511455,0.15267175572517555,-9.92366412213741
20251022,1210,大成,listed,bottom_volume_attack,bottom_volume_attack,bottom_volume_attack_v2_locked_limit_up,66.13,7.6812,7.9767,5.3131,6.884930187770832,False,False,55.5,True,-2.3423423423423406,7.747747747747735,-2.522522522522519,True,-4.144144144144136,7.747747747747735,-5.405405405405405,True,-6.3063063063063085,7.747747747747735,-7.027027027027022,True,-3.2432432432432434,7.747747747747735,-7.027027027027022,True,-6.8468468468468435,7.747747747747735,-8.108108108108103
20250508,1213,大飲,listed,bottom_volume_attack,bottom_volume_attack,bottom_volume_attack_v2_locked_limit_up,36.44,2.1555,11.0672,11.9522,9.041521148622444,False,False,14.05,True,0.0,0.0,-1.067615658362997,True,1.7793594306049876,1.7793594306049876,-1.7793594306049876,True,1.7793594306049876,2.491103202846978,-4.626334519572961,True,-8.896797153024917,2.8469750889679624,-11.74377224199289,True,-8.185053380782925,2.8469750889679624,-11.74377224199289
20250626,1215,卜蜂,listed,bottom_volume_attack,bottom_volume_attack,bottom_volume_attack_v2_locked_limit_up,38.83,2.0843,7.1749,9.1324,5.705440070765144,False,False,119.5,True,4.602510460251041,6.694560669456062,0.0,True,4.602510460251041,7.112970711297062,0.0,True,5.857740585774063,7.112970711297062,0.0,True,7.112970711297062,8.786610878661083,0.0,True,0.0,8.786610878661083,-1.2552301255230103
